,city_fixed,address_fixed,full_2,full_3
6,Дніпро Школа №100,Дніпро пл. Успенська 1, Дніпропетровська область  м. Дніпро  Соборний район міста  пл. Успенська  1, м. Дніпро  Соборний район міста  пл. Успенська  1
7,Дніпро Школа №2,Дніпро вул. Савченка 1, Дніпропетровська область  м. Дніпро  Центральний район міста  вул. Савченка  1, м. Дніпро  Центральний район міста  вул. Савченка  1
48,Івано-Франківськ Школа №3,Івано-Франківськ 14 , Івано-Франківська область  м. Івано-Франківськ  вул. Франка  14 , м. Івано-Франківськ  вул. Франка  14 
53,Запоріжжя Школа №1,Запоріжжя 16 , Запорізька область  м. Запоріжжя  вул. Котельникова  16 , м. Запоріжжя  вул. Котельникова  16 
57,Запоріжжя Школа №29,Запоріжжя вул. Академіка Александрова 7, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. Академіка Александрова  7, м. Запоріжжя  Дніпровський район міста  вул. Академіка Александрова  7
58,Запоріжжя Школа №1,Запоріжжя вул. Шкільна 11, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Шкільна  11, м. Запоріжжя  Олександрівський район міста  вул. Шкільна  11
71,Дніпро Школа №80,Дніпро вул. Комбрига Петрова 31, Дніпропетровська область  м. Дніпро  Шевченківський район міста  вул. Комбрига Петрова  31, м. Дніпро  Шевченківський район міста  вул. Комбрига Петрова  31
72,Запоріжжя Школа №5,Запоріжжя вул. Тургенєва 33, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Тургенєва  33, м. Запоріжжя  Олександрівський район міста  вул. Тургенєва  33
83,Запоріжжя Школа №11,Запоріжжя вул. Поштова 4, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Поштова  4, м. Запоріжжя  Олександрівський район міста  вул. Поштова  4
97,Запоріжжя Школа №7,Запоріжжя 1А , Запорізька область  м. Запоріжжя  вул. Ленська  1А , м. Запоріжжя  вул. Ленська  1А 
101,Запоріжжя Школа №2,Запоріжжя вул. І. Сікорського 267, Запорізька область  м. Запоріжжя  Шевченківський район міста  вул. І. Сікорського  267, м. Запоріжжя  Шевченківський район міста  вул. І. Сікорського  267
170,Запоріжжя Школа №76,Запоріжжя просп. Соборний 154-Г, Запорізька область  м. Запоріжжя  Олександрівський район міста  просп. Соборний  154-Г, м. Запоріжжя  Олександрівський район міста  просп. Соборний  154-Г
185,Запоріжжя Школа №3,Запоріжжя вул. Шкільна 11, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Шкільна  11, м. Запоріжжя  Олександрівський район міста  вул. Шкільна  11
284,Запоріжжя Школа №15,Запоріжжя вул. Фортечна 68, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Фортечна  68, м. Запоріжжя  Олександрівський район міста  вул. Фортечна  68
431,Запоріжжя Школа №2,Запоріжжя вул. Шкільна 36, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Шкільна  36, м. Запоріжжя  Олександрівський район міста  вул. Шкільна  36
432,Запоріжжя Школа №98,Запоріжжя вул. Запорізька 1-а, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Запорізька  1-а, м. Запоріжжя  Олександрівський район міста  вул. Запорізька  1-а
433,Запоріжжя Школа №105,Запоріжжя вул. Запорізька 13А, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Запорізька  13А, м. Запоріжжя  Олександрівський район міста  вул. Запорізька  13А
434,Запоріжжя Школа №20,Запоріжжя б-р Шевченка , Запорізька область  м. Запоріжжя  Вознесенівський район міста  б-р Шевченка , м. Запоріжжя  Вознесенівський район міста  б-р Шевченка 
435,Запоріжжя Школа №25,Запоріжжя вул. Патріотична 76, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Патріотична  76, м. Запоріжжя  Вознесенівський район міста  вул. Патріотична  76
436,Запоріжжя Школа №27,Запоріжжя б-р Центральний 15а, Запорізька область  м. Запоріжжя  Вознесенівський район міста  б-р Центральний  15а, м. Запоріжжя  Вознесенівський район міста  б-р Центральний  15а
437,Запоріжжя Школа №28,Запоріжжя вул. Лермонтова 16, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Лермонтова  16, м. Запоріжжя  Вознесенівський район міста  вул. Лермонтова  16
438,Запоріжжя Школа №37,Запоріжжя вул. Кронштадтська 17, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Кронштадтська  17, м. Запоріжжя  Вознесенівський район міста  вул. Кронштадтська  17
439,Запоріжжя Школа №39,Запоріжжя вул. О.Матросова 16, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. О.Матросова  16, м. Запоріжжя  Вознесенівський район міста  вул. О.Матросова  16
440,Запоріжжя Школа №41,Запоріжжя вул. Миру 6, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Миру  6, м. Запоріжжя  Вознесенівський район міста  вул. Миру  6
441,Запоріжжя Школа №58,Запоріжжя вул. Поточна 7, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Поточна  7, м. Запоріжжя  Вознесенівський район міста  вул. Поточна  7
442,Запоріжжя Школа №71,Запоріжжя вул. Маяковського 8, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Маяковського  8, м. Запоріжжя  Вознесенівський район міста  вул. Маяковського  8
443,Запоріжжя Школа №72,Запоріжжя вул. Лермонтова 21, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Лермонтова  21, м. Запоріжжя  Вознесенівський район міста  вул. Лермонтова  21
445,Запоріжжя Школа №78,Запоріжжя б-р Центральний 12-А, Запорізька область  м. Запоріжжя  Вознесенівський район міста  б-р Центральний  12-А, м. Запоріжжя  Вознесенівський район міста  б-р Центральний  12-А
447,Запоріжжя Школа №94,Запоріжжя вул. Яценка 3-а, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Яценка  3-а, м. Запоріжжя  Вознесенівський район міста  вул. Яценка  3-а
448,Запоріжжя Школа №13,Запоріжжя вул. Селищна 50, Запорізька область  м. Запоріжжя  Заводський район міста  вул. Селищна  50, м. Запоріжжя  Заводський район міста  вул. Селищна  50
449,Запоріжжя Школа №85,Запоріжжя пров. Економічний 5, Запорізька область  м. Запоріжжя  Заводський район міста  пров. Економічний  5, м. Запоріжжя  Заводський район міста  пров. Економічний  5
450,Запоріжжя Школа №67,Запоріжжя вул. Радіаторна 26, Запорізька область  м. Запоріжжя  Заводський район міста  вул. Радіаторна  26, м. Запоріжжя  Заводський район міста  вул. Радіаторна  26
451,Запоріжжя Школа №33,Запоріжжя вул. Ніжинська 40, Запорізька область  м. Запоріжжя  Заводський район міста  вул. Ніжинська  40, м. Запоріжжя  Заводський район міста  вул. Ніжинська  40
452,Запоріжжя Школа №36,Запоріжжя вул. Билкіна 12, Запорізька область  м. Запоріжжя  Заводський район міста  вул. Билкіна  12, м. Запоріжжя  Заводський район міста  вул. Билкіна  12
453,Запоріжжя Школа №54,Запоріжжя вул. Соснова 24, Запорізька область  м. Запоріжжя  Заводський район міста  вул. Соснова  24, м. Запоріжжя  Заводський район міста  вул. Соснова  24
454,Запоріжжя Школа №75,Запоріжжя вул. Історична 92, Запорізька область  м. Запоріжжя  Заводський район міста  вул. Історична  92, м. Запоріжжя  Заводський район міста  вул. Історична  92
455,Запоріжжя Школа №47,Запоріжжя 9 , Запорізька область  м. Запоріжжя  вул. Павлокічкаська  9 , м. Запоріжжя  вул. Павлокічкаська  9 
456,Запоріжжя Школа №46,Запоріжжя 29 , Запорізька область  м. Запоріжжя  вул. Павлокічкаська  29 , м. Запоріжжя  вул. Павлокічкаська  29 
457,Запоріжжя Школа №21,Запоріжжя вул. Машинна 117, Запорізька область  м. Запоріжжя  Заводський район міста  вул. Машинна  117, м. Запоріжжя  Заводський район міста  вул. Машинна  117
458,Запоріжжя Школа №45,Запоріжжя просп. Ювілейний 30 - А, Запорізька область  м. Запоріжжя  Хортицький район міста  просп. Ювілейний  30 - А, м. Запоріжжя  Хортицький район міста  просп. Ювілейний  30 - А
459,Запоріжжя Школа №108,Запоріжжя 1 , Запорізька область  м. Запоріжжя  вул. Дорошенка  1 , м. Запоріжжя  вул. Дорошенка  1 
460,Запоріжжя Школа №24,Запоріжжя 12-А , Запорізька область  м. Запоріжжя  вул. Василя Сергієнка  12-А , м. Запоріжжя  вул. Василя Сергієнка  12-А 
461,Запоріжжя Школа №32,Запоріжжя вул. Чотирнадцятого Жовтня 13, Запорізька область  м. Запоріжжя  Хортицький район міста  вул. Чотирнадцятого Жовтня  13, м. Запоріжжя  Хортицький район міста  вул. Чотирнадцятого Жовтня  13
462,Запоріжжя Школа №40,Запоріжжя вул. Героїв 93-ї бригади 18-А, Запорізька область  м. Запоріжжя  Хортицький район міста  вул. Героїв 93-ї бригади  18-А, м. Запоріжжя  Хортицький район міста  вул. Героїв 93-ї бригади  18-А
463,Запоріжжя Школа №49,Запоріжжя вул. Cвітла 16-А, Запорізька область  м. Запоріжжя  Хортицький район міста  вул. Cвітла  16-А, м. Запоріжжя  Хортицький район міста  вул. Cвітла  16-А
464,Запоріжжя Школа №51,Запоріжжя вул. Воронезька 4, Запорізька область  м. Запоріжжя  Хортицький район міста  вул. Воронезька  4, м. Запоріжжя  Хортицький район міста  вул. Воронезька  4
465,Запоріжжя Школа №91,Запоріжжя вул. Лахтінська 6-а, Запорізька область  м. Запоріжжя  Хортицький район міста  вул. Лахтінська  6-а, м. Запоріжжя  Хортицький район міста  вул. Лахтінська  6-а
